"IdVenta";"Fecha";"IdCliente";"TotalAPagar"
26.567;2020-01-02 09:41:14.000;3.811;188.000
26.568;2020-01-02 10:51:51.000;3.812;91.500
26.569;2020-01-02 11:02:20.000;1;39.000
26.570;2020-01-02 11:03:56.000;3.064;20.000
26.571;2020-01-02 11:06:02.000;1;2.500
26.572;2020-01-02 11:18:11.000;238;60.000
26.573;2020-01-02 11:28:27.000;14;228.000
26.574;2020-01-02 14:46:56.000;1.351;60.000
26.575;2020-01-02 15:38:03.000;1;80.000
26.576;2020-01-02 15:51:52.000;3.028;15.000
26.577;2020-01-02 16:17:17.000;1;70.000
26.578;2020-01-02 16:51:59.000;3.813;36.000
26.579;2020-01-02 16:59:09.000;1;84.500
26.580;2020-01-02 17:15:27.000;3.814;79.000
26.581;2020-01-02 17:16:12.000;1;45.000
26.582;2020-01-03 09:56:55.000;1;18.000
26.583;2020-01-03 10:06:25.000;3.636;35.000
26.584;2020-01-03 10:15:48.000;1;28.000
26.585;2020-01-03 10:16:59.000;1;40.000
26.586;2020-01-03 10:55:25.000;1.363;22.500
26.587;2020-01-03 11:18:30.000;1;6.500
26.588;2020-01-03 11:21:53.000;2.494;60.000
26.589;2020-01-03 12:24:45.000;3.815;40.000
26.590;2020-01-03 13:17:48.000;1;20.000
26.591;2020-01-03 13:59:42.000;1;9.000
26.592;2020-01-03 14:40:17.000;1;19.000
26.593;2020-01-03 16:14:01.000;1;15.000
26.594;2020-01-03 16:24:35.000;356;20.000
26.595;2020-01-03 16:32:49.000;1;20.000
26.596;2020-01-03 16:44:51.000;1;40.000
26.597;2020-01-03 16:47:15.000;1;15.000
26.598;2020-01-03 17:00:36.000;1;35.000
26.599;2020-01-03 17:08:14.000;1;10.000
26.600;2020-01-03 17:33:10.000;3.816;20.000
26.601;2020-01-03 17:37:56.000;2.877;60.000
26.602;2020-01-04 09:15:19.000;1;20.000
26.603;2020-01-04 09:26:53.000;901;65.000
26.604;2020-01-04 09:40:06.000;3.817;76.000
26.605;2020-01-04 09:52:40.000;3.818;70.000
26.606;2020-01-04 09:57:03.000;1;20.000
26.607;2020-01-04 10:24:33.000;1;45.000
26.608;2020-01-04 10:25:57.000;1;29.000
26.609;2020-01-04 10:58:03.000;1;18.000
26.610;2020-01-04 12:47:10.000;1;20.000
26.611;2020-01-06 10:20:05.000;1;40.000
26.612;2020-01-06 10:53:48.000;1;20.000
26.613;2020-01-06 11:35:42.000;3.819;40.000
26.614;2020-01-06 11:47:50.000;1;20.000
26.615;2020-01-06 11:52:12.000;1;120.000
26.616;2020-01-06 12:41:29.000;1;140.000
26.617;2020-01-06 13:04:12.000;1;5.000
26.618;2020-01-06 13:16:16.000;1;25.000
26.619;2020-01-06 13:24:26.000;1;3.000
26.621;2020-01-06 14:47:08.000;3.820;60.000
26.622;2020-01-06 15:36:31.000;2.466;20.000
26.623;2020-01-06 17:24:45.000;3.821;75.000
26.624;2020-01-06 17:40:59.000;1;40.000
26.625;2020-01-07 08:37:31.000;2.826;138.000
26.626;2020-01-07 09:07:54.000;1;20.000
26.627;2020-01-07 09:32:34.000;1;20.000
26.628;2020-01-07 09:49:59.000;156;55.000
26.630;2020-01-07 10:24:33.000;60;20.000
26.631;2020-01-07 10:32:55.000;3.064;45.000
26.632;2020-01-07 10:36:00.000;3.822;50.000
26.633;2020-01-07 10:37:19.000;1;20.000
26.634;2020-01-07 15:40:54.000;3.823;59.000
26.635;2020-01-07 15:42:10.000;1;16.000
26.636;2020-01-07 16:02:06.000;1;35.000
26.637;2020-01-07 16:53:18.000;663;640.000
26.638;2020-01-07 17:19:20.000;1;13.000
26.639;2020-01-08 08:41:16.000;3.815;40.000
26.640;2020-01-08 09:06:40.000;1;15.000
26.641;2020-01-08 09:20:57.000;1;40.000
26.642;2020-01-08 09:35:02.000;1;36.000
26.643;2020-01-08 10:29:23.000;1;45.000
26.644;2020-01-08 10:59:14.000;129;66.000
26.645;2020-01-08 11:55:38.000;3.824;33.000
26.646;2020-01-08 11:56:48.000;3.824;20.000
26.647;2020-01-08 13:22:10.000;1;20.000
26.648;2020-01-08 13:53:13.000;3.825;66.000
26.649;2020-01-08 14:29:32.000;3.826;90.000
26.650;2020-01-08 15:10:25.000;1;50.000
26.651;2020-01-08 15:14:22.000;1;10.000
26.652;2020-01-08 15:15:00.000;855;15.000
26.653;2020-01-08 15:26:30.000;1;15.000
26.654;2020-01-08 15:28:59.000;1;5.000
26.655;2020-01-08 15:41:49.000;3.827;85.000
26.656;2020-01-08 15:52:41.000;1;10.000
26.657;2020-01-08 17:18:23.000;1;20.000
26.658;2020-01-09 08:38:50.000;3.828;28.000
26.659;2020-01-09 09:45:01.000;3.829;39.000
26.660;2020-01-09 11:18:27.000;3.830;20.000
26.661;2020-01-09 11:29:39.000;1;20.000
26.662;2020-01-09 11:31:31.000;3.831;20.000
26.663;2020-01-09 12:39:08.000;1;45.000
26.664;2020-01-09 13:09:34.000;3.832;114.000
26.665;2020-01-09 13:56:17.000;1;28.000
26.666;2020-01-09 14:38:34.000;1;10.000
26.667;2020-01-09 14:38:46.000;1;20.000
26.668;2020-01-09 14:51:36.000;1;40.000
26.669;2020-01-09 15:24:24.000;3.833;145.000
26.670;2020-01-09 15:48:02.000;1;20.000
26.671;2020-01-09 15:52:48.000;1;20.000
26.672;2020-01-09 16:49:52.000;1;60.000
26.673;2020-01-09 16:58:03.000;1;20.000
26.674;2020-01-09 17:25:03.000;3.769;123.000
26.675;2020-01-09 17:49:39.000;1;13.000
26.676;2020-01-09 17:50:40.000;69;98.000
26.677;2020-01-10 08:54:31.000;1;25.000
26.678;2020-01-10 10:15:38.000;1;15.000
26.679;2020-01-10 11:08:13.000;1;10.000
26.680;2020-01-10 11:59:58.000;1;27.000
26.681;2020-01-10 12:15:55.000;2.610;88.000
26.682;2020-01-10 12:29:13.000;1;20.000
26.683;2020-01-10 12:32:35.000;1;20.000
26.684;2020-01-10 13:01:07.000;1;15.000
26.685;2020-01-10 13:01:33.000;1;20.000
26.686;2020-01-10 13:40:59.000;1;40.000
26.687;2020-01-10 14:16:45.000;1.377;15.000
26.688;2020-01-10 14:58:48.000;1;9.000
26.689;2020-01-10 15:16:58.000;1;18.000
26.690;2020-01-10 15:34:10.000;3.698;40.000
26.691;2020-01-10 16:15:58.000;1;18.000
26.692;2020-01-10 17:08:08.000;1;20.000
26.693;2020-01-10 17:35:26.000;1;20.000
26.694;2020-01-11 09:04:12.000;1;36.000
26.695;2020-01-11 09:04:56.000;1;15.000
26.696;2020-01-11 09:05:40.000;1;60.000
26.697;2020-01-11 09:24:00.000;3.834;40.000
26.698;2020-01-11 09:38:58.000;3.835;25.000
26.699;2020-01-11 10:22:47.000;1;35.000
26.700;2020-01-11 10:52:26.000;1;27.000
26.701;2020-01-11 11:06:48.000;3.593;250.000
26.702;2020-01-11 11:07:50.000;1;22.500
26.703;2020-01-11 12:24:54.000;1;45.000
26.704;2020-01-13 08:42:05.000;3.836;35.000
26.705;2020-01-13 09:56:09.000;3.691;152.000
26.706;2020-01-13 09:57:55.000;1;125.500
26.707;2020-01-13 10:15:53.000;1;30.000
26.708;2020-01-13 10:16:46.000;1;16.000
26.709;2020-01-13 10:18:21.000;3.636;20.000
26.710;2020-01-13 10:28:59.000;1;132.000
26.711;2020-01-13 10:31:16.000;1;28.000
26.712;2020-01-13 10:34:21.000;1;40.000
26.713;2020-01-13 10:46:53.000;1;17.000
26.714;2020-01-13 10:51:47.000;1.194;40.000
26.715;2020-01-13 10:57:05.000;1;20.000
26.716;2020-01-13 11:06:02.000;74;126.000
26.717;2020-01-13 12:04:40.000;3.837;150.000
26.719;2020-01-13 12:12:54.000;1;23.000
26.720;2020-01-13 12:31:10.000;1;40.000
26.721;2020-01-13 13:21:52.000;1;15.500
